--- PPE VIOLATION LOG ---
Timestamp           | Person ID | Zone     | Missing Items
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:53 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:54 | 4         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 1         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 3         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 5         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 0         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 2         | RIGHT    | safety_vest
2025-09-08 15:25:55 | 3         | RIGHT    | safety_vest
